LastName	Pinyin
叔山	shū shān
叔孙	shū sūn
叔向	shū xiàng
叔夜	shū yè
叔鱼	shū yú
叔仲	shū zhòng
耍	shuǎ
率	shuài
帅	shuài
双	shuāng
霜	shuāng
税	shuì
水	shuǐ
舜	shùn
顺	shùn
硕	shuò
说	shuō
似	sì
佀	sì
姒	sì
俟	sì
肆	sì
四	sì
死	sǐ
司	sī
思	sī
斯	sī
司空	sī kōng
司寇	sī kòu
司马	sī mǎ
司徒	sī tú
司城	sī chéng
司功	sī gōng
似和	sì hé
似先	sì xiān
宋	sòng
松	sōng
嵩	sōng
玊	sù
夙	sù
素	sù
速	sù
宿	sù
粟	sù
苏	sū
酸	suān
隋	suí
随	suí
岁	suì
穗	suì
邃	suì
眭	suī
睢	suī
孙	sūn
狲	sūn
孙华	sūn huá
锁	suǒ
所	suǒ
索	suǒ
塔	tǎ
他	tā
台	tái
邰	tái
太	tài
泰	tài
太公	tài gōng
太史	tài shǐ
太叔	tài shū
潭	tán
谈	tán
覃	tán
谭	tán
檀	tán
澹台	tán tái
唐	táng
堂	táng
汤	tāng
陶	táo
腾	téng
藤	téng
提	tí
题	tí
遆	tí
提挟	tí xié
田	tián
甜	tián
添	tiān
铁	tiě
帖	tiē
铁伐	tiě fá
铁木	tiě mù
廷	tíng
茼	tóng
仝	tóng
同	tóng
佟	tóng
彤	tóng
桐	tóng
童	tóng
通	tōng
佟佳	tóng jiā
凃	tú
涂	tú
屠	tú
土	tǔ
图门	tú mén
吐万	tǔ wàn
陀	tuó
妥	tuǒ
庹	tuǒ
脱	tuō
拓拔	tuò bá
拓跋	tuò bá
拓略	tuò lüè
瓦	wǎ
呙	wāi
完	wán
万	wàn
宛	wǎn
完颜	wán yán
王	wáng
望	wàng
汪	wāng
韦	wéi
惟	wéi
卫	wèi
尉	wèi
位	wèi
蔚	wèi
魏	wèi
伟	wěi
尾	wěi
委	wěi
隗	wěi
巍	wēi
危	wēi
威	wēi
嵬名	wéi míng
微生	wēi shēng
文	wén
闻	wén
问	wèn
温	wēn
闻人	wén rén
瓮	wèng
翁	wēng
沃	wò
我	wǒ
无	wú
毋	wú
吴	wú
吾	wú
兀	wù
务	wù
戊	wù
悟	wù
仵	wǔ
伍	wǔ
武	wǔ
午	wǔ
忤	wǔ
五	wǔ
屋	wū
乌	wū
邬	wū
巫	wū
吴巢	wú cháo
五鹿	wǔ lù
巫马	wū mǎ
吾丘	wú qiū
乌孙	wū sūn
乌雅	wū yǎ
兀有	wù yǒu
习	xí
席	xí
隰	xí
戏	xì
系	xì
郤	xì
喜	xǐ
夕	xī
西	xī
希	xī
昔	xī
析	xī
郗	xī
奚	xī
息	xī
悉	xī
西门	xī mén
鏬	xià
丅	xià
夏	xià
夏侯	xià hóu
瑕丘	xiá qiū
闲	xián
贤	xián
咸	xián
县	xiàn
线	xiàn
羡	xiàn
霰	xiàn
冼	xiǎn
先	xiān
鲜	xiān
仙	xiān
鲜卑	xiān bēi
鲜于	xiān yú
庠	xiáng
向	xiàng
项	xiàng
象	xiàng
乡	xiāng
相	xiāng
襄	xiāng
香	xiāng
相里	xiāng lǐ
效	xiào
効	xiào
校	xiào
孝	xiào
肖	xiāo
萧	xiāo
校师	xiào shī
邪	xié
偰	xiè
谢	xiè
解	xiè
写	xiě
镡	xín
信	xìn
衅	xìn
辛	xīn
忻	xīn
信都	xìn dū
刑	xíng
行	xíng
邢	xíng
幸	xìng
性	xìng
姓	xìng
兴	xīng
星	xīng
熊	xióng
休	xiū
修	xiū
飍	xiū
修鱼	xiū yú
徐	xú
续	xù
绪	xù
婿	xù
顼	xù
许	xǔ
胥	xū
须	xū
吁	xū
玄	xuán
旋	xuán
禤	xuān
轩	xuān
宣	xuān
轩丘	xuān qiū
轩辕	xuān yuán
学	xué
穴	xué
雪	xuě
薛	xuē
寻	xún
荀	xún
郇	xún
牙	yá
亚	yà
鸦	yā
押	yā
闫	yán
筵	yán
顏	yán
沿	yán
延	yán
严	yán
言	yán
盐	yán
阎	yán
颜	yán
晏	yàn
燕	yàn
妟	yàn
琰	yǎn
烟	yān
焉	yān
鄢	yān
演阳	yǎn yáng
扬	yáng
羊	yáng
阳	yáng
杨	yáng
洋	yáng
仰	yǎng
养	yǎng
羊角	yáng jiǎo
羊舌	yáng shé
尧	yáo
姚	yáo
徭	yáo
药	yào
咬	yǎo
要	yāo
幺	yāo
曳	yè
业	yè
叶	yè
冶	yě
野	yě
耶	yē
